Plant Code,Plant Name,Utility Name,Age of Oldest Unit at Plant in Years,Prime Mover for Generator 1,Energy Source 1 for Generator 1,Nameplate capacity in MW,2018 Net Generation in MWh,2018 Electric Fuel Consumption in MMBtu,Implied 2018 Electrical Efficiency,Latitude,Longitude,State,Zip,County,NERC Region,Balancing Authority Code
50386,Windland,Windland Inc,37,WT,WND,15.3,32591,296967,37%,35.0522,-118.3581,CA,93501,Kern,WECC,CISO
50388,Phillips 66 Carbon Plant,Phillips 66 Company,36,ST,PC,27.3,126783,1155248,37%,38.018056,-122.2344,CA,94572,Contra Costa,WECC,CISO
50389,Port Allen (LA),Placid Refining Co LLC,29,GT,NG,7.6,51272,201080,87%,30.477,-91.211,LA,70767,West Baton Rouge,SERC,MISO
50392,Eielson AFB Central Heat & Power Plant,U S Air Force-Eielson AFB,21,IC,DFO,33.5,0,0,0%,64.67141,-147.075988,AK,99702,Fairbanks North Star,ASCC,
50393,Friant Hydro Facility,Friant Power Authority,33,HY,WAT,37.5,125902,1147218,37%,36.997694,-119.703451,CA,93626,Fresno,WECC,CISO
50395,Georgia-Pacific Corp - Nekoosa Mill,Domtar Industries Inc,102,HY,WAT,39,214776,1080829,68%,44.3142,-89.8964,WI,54457,Wood,MRO,MISO
50396,Dillard Complex,Roseburg Forest Products Co,64,ST,WDS,51.5,144045,1680181,29%,43.0895,-123.4156,OR,97432,Douglas,WECC,PACW
50397,Pixelle Specialty Solutions LLC - Spring Grove Facility,Pixelle Specialty Solutions LLC - (PA),71,ST,NG,103.6,435190,2454369,60%,39.870935,-76.868117,PA,17362,York,RFC,PJM
50398,International Paper Savanna Mill,International Paper Co,21,ST,BLQ,154,636523,3930861,55%,32.100354,-81.124248,GA,31402,Chatham,SERC,SOCO
50400,Sand Bar Power Plant,Tri-Dam Power Authority,33,HY,WAT,16.2,73943,673769,37%,38.1861,-120.15,CA,95364,Tuolumne,WECC,CISO
50404,BP Chemicals Green Lake Plant,INEOS Nitriles Greenlake,30,ST,WH,38.8,54528,496861,37%,28.5707,-96.8333,TX,77979,Calhoun,TRE,ERCO
50406,Somerset Plant,Sappi Fine Paper North America-Somerset,43,ST,BLQ,107.1,538845,2577149,71%,44.703467,-69.647441,ME,4976,Somerset,NPCC,ISNE
50407,Mobile Energy Services LLC,DTE Energy Services,34,ST,NG,96.7,331450,3643942,31%,30.736487,-88.051643,AL,36610,Mobile,SERC,SOCO
50408,Park Mill,N E W Hydro LLC,99,HY,WAT,2.1,9978,90920,37%,45.1058,-87.6514,WI,54143,Marinette,MRO,MISO
50409,Menominee Mill Marinette,N E W Hydro LLC,95,HY,WAT,1.8,14314,130428,37%,45.1069,-87.6378,MI,49858,Menominee,MRO,MISO
50410,Chester Operations,Kimberly-Clark Corp,33,ST,PC,67,214375,1099368,67%,39.843743,-75.358801,PA,19013,Delaware,RFC,PJM
50411,Rutgers Biomedical and Health Cogen,"Rutgers, The State University of NJ",30,GT,NG,10.5,57075,322930,60%,40.73928,-74.187633,NJ,7103,Essex,RFC,PJM
50413,Olmsted Waste Energy,Olmsted County Public Works,10,IC,DFO,11.3,0,0,0%,44.026072,-92.432313,MN,55906,Olmsted,MRO,MISO
50414,Penacook Upper Falls Hydro,Briar-Hydro Associates,33,HY,WAT,3.4,18346,167170,37%,43.283208,-71.600827,NH,3303,Merrimack,NPCC,ISNE
50416,Tannery Island Power,"Ampersand Tannery Island Hydro, LLC",33,HY,WAT,1.5,6598,60121,37%,43.98,-75.6131,NY,13619,Jefferson,NPCC,NYIS
50421,Orchard Avenue 1,Yakima-Tieton Irrigation Dist,32,HY,WAT,1.6,3086,28118,37%,46.596413,-120.677489,WA,98908,Yakima,WECC,PACW
50423,Cowiche,Yakima-Tieton Irrigation Dist,32,HY,WAT,1.7,2919,26597,37%,46.692628,-120.737194,WA,98947,Yakima,WECC,PACW
50424,Duluth Paper Mill,Verso Corporation,33,ST,PUR,10.6,51668,470797,37%,46.734957,-92.162085,MN,55807,St Louis,MRO,MISO
50427,Bronx Zoo,New York Zoological Society,28,IC,NG,3.6,20895,127311,56%,40.844114,-73.876888,NY,10460,Bronx,NPCC,NYIS
50431,University of Michigan,University of Michigan,33,CA,NG,44.5,148664,662795,77%,42.281167,-83.734617,MI,48104,Washtenaw,RFC,MISO
50433,Ada Dam,"STS Hydropower, LLC",35,HY,WAT,1.4,5842,53234,37%,42.950642,-85.485944,MI,49301,Kent,RFC,MISO
50435,Sugarloaf Hydro Plant,"STS Hydropower, LLC",34,HY,WAT,2.5,4955,45150,37%,39.252672,-106.374808,CO,80461,Lake,WECC,PSCO
50436,Cascade Dam,"STS Hydropower, LLC",33,HY,WAT,1.6,8104,73843,37%,42.909408,-85.49888,MI,49506,Kent,RFC,MISO
50437,French Landing Dam,"STS Hydropower, LLC",31,HY,WAT,1.6,5198,47364,37%,42.214264,-83.440692,MI,48111,Wayne,RFC,MISO
50439,Oconto Falls Lower,N E W Hydro LLC,48,HY,WAT,2,8232,75009,37%,44.8719,-88.1439,WI,54154,Oconto,RFC,MISO
50447,S D Warren Westbrook,S D Warren Co.- Westbrook,116,HY,WAT,70.9,116565,944503,42%,43.684857,-70.353152,ME,4098,Cumberland,NPCC,ISNE
50449,Indeck Silver Springs Energy Center,Indeck-Energy Serv Silver Spg,28,CT,NG,56.6,78342,764365,35%,42.6544,-78.0772,NY,14550,Wyoming,NPCC,NYIS
